ONSConstID,leavehanretty,Turnout17,Con17,Lab17,ld17,snp17,PC17,UKIP17,Green17,Turnout15,Con15,Lab15,LD15,SNP15,PC15,UKIP15,Green15,Turnout19,con19,lab19,ld19,brexit19,green19,snp19,pc19,Long_term_unemployed,Population_density,Industry_manufacturing,Con10,Lab10,LD10,SNP10,PC10,UKIP10,Green10,BNP10,Turn10,Region
S14000041,0.416631508,0.635208537,0.232979023,0.368367502,0.024202801,0.362760591,0,0.011690083,0,0.696,0.099,0.334,0.022,0.522,0,0.023,0,0.645203355,0.201021168,0.326029146,0.061759387,0.024082544,0.034634613,0.352473141,0,0.0257,7.64,0.1028,0.093,0.6454,0.0932,0.143,0,0.0166,0,0,0.622,S92000003
S14000042,0.354668626,0.652800952,0.32054686,0.318684367,0.024053893,0.325817317,0,0.010897563,0,0.701,0.159,0.305,0.022,0.488,0,0.026,0,0.683397932,0.321374736,0.202291227,0.057224148,0,0,0.419109888,0,0.0199,2.64,0.0844,0.15,0.4996,0.1128,0.2101,0,0.0132,0,0,0.623,S92000003
S14000043,0.416080522,0.650848166,0.290779763,0.311423682,0.034335223,0.363461333,0,0,0,0.708,0.12,0.31,0.02,0.52,0,0.027,0,0.663744773,0.247252272,0.182033752,0.076036348,0.021756815,0.020493293,0.442250108,0,0.0197,4.11,0.1149,0.1195,0.4982,0.1281,0.2542,0,0,0,0,0.636,S92000003
S14000044,0.438133367,0.646549601,0.24376726,0.326787925,0.028797257,0.400647557,0,0,0,0.699,0.103,0.276,0.021,0.569,0,0.031,0,0.663450204,0.223146249,0.218255422,0.063324297,0,0.026029455,0.469244578,0,0.0177,4.23,0.1111,0.1077,0.4846,0.111,0.2593,0,0.0092,0,0.02,0.631,S92000003
S14000045,0.379409695,0.662583421,0.254478387,0.363527931,0.038013827,0.343979856,0,0,0,0.712,0.119,0.302,0.023,0.506,0,0.024,0.025,0.683559197,0.217063105,0.297131955,0.070363535,0,0,0.415441405,0,0.0158,2.35,0.0526,0.1188,0.4701,0.171,0.2064,0,0.0093,0.0152,0,0.639,S92000003
S14000046,0.498731967,0.673824116,0.475517278,0.109400273,0.02264468,0.388152505,0,0,0,0.687,0.311,0.099,0.028,0.495,0,0.039,0.027,0.687337228,0.452882744,0.049810548,0.046472094,0,0,0.442375832,0,0.0131,0.42,0.1142,0.2605,0.1709,0.1453,0.3969,0,0.0265,0,0,0.622,S92000003
S14000047,0.369725268,0.614615554,0.202499642,0.377617707,0.021943424,0.3852025,0,0.012736727,0,0.686,0.077,0.319,0.012,0.565,0,0.027,0,0.645114442,0.16096353,0.323142729,0.03770824,0,0,0.464250338,0,0.0273,17.73,0.0992,0.0936,0.6111,0.0982,0.1816,0,0,0,0,0.585,S92000003
S14000048,0.42290654,0.648204329,0.312398541,0.274914089,0.023696583,0.388990787,0,0,0,0.711,0.148,0.28,0.017,0.532,0,0.024,0,0.654853537,0.30848943,0.139178469,0.043755451,0,0.023134111,0.485442539,0,0.0296,1.18,0.0942,0.1564,0.474,0.1004,0.2595,0,0,0,0,0.615,S92000003
S14000049,0.381371964,0.712652296,0.241212759,0.096265124,0.328559132,0.328606953,0,0,0,0.73,0.163,0.077,0.313,0.409,0,0,0.031,0.753271488,0.129931558,0.037207376,0.430772919,0,0,0.402088147,0,0.011,1.04,0.061,0.2175,0.1715,0.4434,0.1419,0,0.0258,0,0,0.636,S92000003
S14000050,0.39250284,0.705615694,0.414802097,0.200247379,0.032159208,0.352791316,0,0,0,0.748,0.207,0.284,0.026,0.46,0,0.023,0,0.733891033,0.387179354,0.08581115,0.055420061,0,0,0.464981924,0,0.0166,0.59,0.0834,0.2049,0.3791,0.114,0.2763,0,0.0137,0.0121,0,0.672,S92000003
